healthTOlarge,healthTOsmall,largeTOhealth,largeTOsmall,smallTOhealth,smallTOlarge
0.442471707,0.12682179,0.079381963,8.366770173,0.387112782,0.231887908
0.001822673,0.123219515,-0.025282678,-4.025980399,0.136431402,0.121115842
-0.015694418,0.007045318,0.040298938,4.114815421,0.217613852,0.119457995
0.280787573,-0.108831594,0.003504085,7.187348007,0.043584883,0.795905859
0.577855049,0.040833363,-0.001552938,0.814579206,0.448128606,0.119579145
0.19303753,-0.018705058,-0.030362674,6.23713841,-0.234888904,-0.004711947
0.16578095,-0.02654583,0.046119909,-2.198662802,0.591035313,0.472126058
0.028353972,-0.037595857,0.049829418,-0.436583923,0.45891647,0.476036633
0.387944662,0.12632604,0.059513133,2.772197911,7.721907629,0.074105672
0.181375382,-0.007638142,0.789057013,0.098988688,0.065670747,0.04619908
0.304517864,0.1663076,-0.602552625,-0.197427381,1.372801458,0.149544251
0.343751731,0.119018492,0.156840988,0.141155834,-2.328715504,0.082049125
0.031614273,-0.233534618,0.109985653,-0.179982038,-2.074555828,0.027874236
0.180094187,0.145516131,-0.416567634,-0.049452591,5.14905622,-0.037672372
-0.031791485,-0.192231322,0.424491466,-0.09420948,-0.869476656,0.013615891
0.143792929,-0.071987953,-0.567311172,-0.007167977,3.885285073,0.068437055
0.075613704,0.289936497,0.228054403,0.191077033,11.45744379,0.07117711
0.10057058,0.006000236,0.390365388,0.153505002,1.262771756,-0.045661497
-0.056868182,-0.136381985,-0.030716309,-0.147560911,2.071790947,0.04340066
0.038435325,0.03697422,0.063469523,0.112887608,4.988491762,0.162018415
0.147904233,-0.015619294,-0.007426013,-0.160427942,3.151362005,0.003882452
0.061954229,0.01458972,-0.091149622,-0.082884883,0.260424045,0.05463267
-0.150029681,0.135228392,-0.023381021,-0.01756111,0.137578592,0.092673441
-0.195003961,-0.008995202,4.669941011,8.789750337,0.080145463,0.127608405
0.23639896,0.092644414,-3.899189348,-5.550020355,-0.241875248,0.02631299
-0.219777236,-0.047263436,0.582121312,1.037001536,-0.037592419,-0.089008822
0.014209508,0.001676737,0.76535259,2.458890736,0.25402597,0.095259044
-0.191879523,0.043207374,0.718459828,-3.764890313,0.005379301,-0.025777798
-0.051824154,-0.009175377,4.3924541,6.798449948,0.324041302,0.100826425
0.373254777,-0.043738444,-1.053293285,-3.188714831,0.578730413,0.134540679
-0.12306829,0.098710633,0.987688569,3.316744664,0.116199383,-0.088488353
-0.004696765,0.045419025,0.770768797,5.823550281,0.165681203,0.078702176
-0.058830301,0.060514612,0.580137731,0.627981898,0.084787884,-0.015164692
0.028636978,19.56101027,5.764428688,5.100475661,-0.047410841,-0.040575841
-0.129229244,-6.059713741,-1.671923063,-1.756341885,0.168512244,0.743966653
-0.043129728,-5.690895629,0.186582786,-0.269436311,-0.081283661,-0.044213346
-0.02354548,13.96640468,0.486308756,2.304961817,-0.052265329,0.23271829
-0.049541415,33.90511974,0.169968943,0.114137757,-0.144941182,-0.237419266
0.140893763,4.836806969,-0.170843298,-0.10282175,-0.169972148,-0.410769879
